Deutsch;Englisch;Daari;Ukrainisch;arabisch
der Ausgang;the exit;خروجی;вихід;الخروج
das Zimmer;the room;اتاق;кімната;الغرفة
das Schlafzimmer;the sleeping room;اتاق خواب;спальня;غرفة النوم
das Wohnzimmer;the living room;اتاق نشیمن;вітальня;غرفة المعيشة
das Bad;the bath;حمام;ванна кімната;الحمام
die Dusche;the shower;دوش;душ;الحمام
der Haushalt;the household;خانواده;домогосподарство;الأسرة
der Flur;the floor;راهرو;коридор;الممر
der Gang;the corridor;راهرو;прохід;الممر
die Heizung;the heater;سیستم گرمایش;система опалення;نظام التدفئة
der Hof;the courtyard;حیاط;двір;الفناء
der Herd;the cooker;اجاق گاز;піч;الموقد
der Backofen;the stove;فر;піч;الفرن
die Küche;the kitchen;آشپزخانه;кухня;المطبخ
der Aufzug;the elevator;آسانسور;ліфт;المصعد
das Schloss;the lock;قلعه;замок;القلعة
die Treppe;the stairs;پله ها;сходи;الدرج
die Tonne;the ton;سطل زباله;смітник;سلة المهملات
die Ecke;the corner;گوشه;кут;الزاوية
der Tagesablauf;the daily routine;روال روزانه;розпорядок дня;الروتين اليومي
die Technik;the technique;تکنولوژی;технологія;التكنولوجيا
die Miete;the rent;اجاره;орендна плата;الإيجار
der Müll;the waste;زباله;сміття;القمامة
die Nebenkosten;the additional costs;هزینه های اضافی;додаткові витрати;التكاليف الإضافية
an;on;به;до;ل
auf;onto;در;на;على
neben;next to;در کنار;поруч;بجوار
über;above;بالا;вище;فوق
unter;under;زیر;під;تحت
in;in;در;в;في
aus;out;خارج از;з;خارج
durch;through;از طریق;через;خلال
gegen;against;علیه;проти;ضد
zwischen;between;بین;між;بين
um;around;اطراف;навколо;حول
vor;before;قبل از;раніше;قبل
nach;after;بعد از;після;بعد
mit;with;با;з;مع
ohne;without;بدون;без;بدون
für;for;برای;для;ل
von;from;از;від;من
oben;up;بالا;вище;فوق
unten;down;زیر;нижче;أقل
vorn;front;جلو;спереду;أمام
hinten;back;عقب;задній;مؤخرة
draußen;outside;خارج;назовні;الخارج
drinnen;inside;داخل;всередині;داخل
darüber;above;در مورد آن;про це;حوله
dazu;to that;علاوه بر این;крім того;فضلاً عن ذلك
vorne;up front;در مقابل;попереду;أمام
so;so;بنابراین;так;لذا
breit;wide;گسترده;широкий;واسع
schmal;narrow;باریک;вузькі;ضيق
leicht;light;نور;світло;ضوء
schwer;heavy;دشوار است;важко;صعب
hell;bright;روشن;яскравий;ساطع
dunkel;dark;تاریک;темний;مظلم
leise;quiet;ساکت;тихий;هادئ
laut;loud;با صدای بلند;голосно;عالي
hoch;high;بالا;висока;عالي
niedrig;low;پایین;низький;قليل
gerade;straight;مستقیم;прямо;مستقيم
krumm;not straight;کج;кривий;ملتوية
gebraucht;used;مورد نیاز است;необхідний;ضروري
kühl;cool;باحال;круто;رائع
praktisch;practical;عملی;практичний;عملي
die Sache;the thing;چیز;річ;الشيء
fertig;ready;کامل;повний;مكتمل
rund;round;اطراف;навколо;حول
bequem;comfortable;راحت;комфортно;مريح
hart;hard;سخت;важко;صعب
trocken;dry;خشک;сухий;جاف
ruhig;silent;ساکت;тихий;هادئ
sauber;clean;تمیز کردن;чистий;ينظف
Ich kann die Toilette nicht finden.;I can not find the toilet.;توالت را پیدا نمی کنم.;Я не можу знайти туалет.;لا أستطيع العثور على المرحاض.
Wir haben kein Toilettenpapier mehr.;We have no toilet paper anymore.;دستمال توالت تموم شده;У нас закінчився туалетний папір.;لقد نفذ منا ورق التواليت.
Wir müssen alle Möbel in die andere Ecke schieben.;We have to push all the furniture into the other corner.;باید همه وسایل را به گوشه دیگر منتقل کنیم.;Ми повинні перенести всі меблі в інший кут.;علينا أن ننقل كل الأثاث إلى الزاوية الأخرى.
Ihr Bett ist sehr bequem.;Your bed is very comfortable.;تختت خیلی راحته;Ваше ліжко дуже зручне.;سريرك مريح للغاية.
Den Schrank solltest du nicht öffnen.;You should not open the closet.;نباید کمد را باز کنی;Не варто відкривати шафу.;لا ينبغي عليك فتح الخزانة.
Stell die Tasse einfach in das Regal.;Just put the cup into the shelf.;فقط فنجان را روی قفسه بگذارید.;Просто постав чашку на полицю.;فقط ضع الكوب على الرف.
Kannst du bitte am Tisch essen.;Can you eat at the table please.;میشه لطفا سر میز غذا بخورید;Чи можете ви їсти за столом?;هل يمكنك من فضلك تناول الطعام على الطاولة.
Sitz bitte ruhig auf deinem Stuhl.;Please sitz quiet on your chair.;لطفاً آرام روی صندلی خود بنشینید.;Будь ласка, сидіть тихо у своєму кріслі.;من فضلك اجلس بهدوء على كرسيك.
Der Mann und die Frau sitzen auf der Bank.;The man and the woman are sitting on the bench.;زن و مرد روی نیمکت می نشینند.;Чоловік і жінка сидять на лавці.;يجلس الرجل والمرأة على المقعد.
Wer möchte jetzt im Sessel sitzen?;Who wants to sit in the armchair?;کی میخواد الان روی صندلی بنشینه؟;Хто зараз хоче сидіти в кріслі?;من يريد الجلوس على الكرسي الآن؟
Auf dem Sofa kann man schlafen.;You can sleep on the couch.;می توانید روی مبل بخوابید.;Спати можна на дивані.;يمكنك النوم على الأريكة.
Macht ihr bitte die Lampe an?;Can you turn on the lamp please.;لطفا لامپ را روشن کنید؟;Чи не могли б ви ввімкнути лампу?;هل من الممكن أن تشعل المصباح؟
Der Teppich war gestern noch sauber.;The carpet was clean yesterday.;فرش دیروز هنوز تمیز بود.;Килим ще вчора був чистим.;السجادة كانت لا تزال نظيفة بالأمس.
Auf dem Bild ist eine Frau in ihrem Garten.;There is a woman in her garden on the picture.;در تصویر زنی در باغش وجود دارد.;На картині жінка у своєму саду.;في الصورة امرأة في حديقتها.
Der Schlüssel passt nicht in das Schloss.;The key doesnt fit into the lock.;کلید در قفل جا نمی شود.;Ключ не підходить до замка.;المفتاح لا يتناسب مع القفل.
Warum hast du die Spülmaschine nicht angemacht?;Why did you not turn on the dish washer.;چرا ماشین ظرفشویی رو روشن نکردی؟;Чому ви не ввімкнули посудомийну машину?;لماذا لم تقم بتشغيل غسالة الصحون؟
Stell die Milch bitte in den Kühlschrank.;Put the milk into the fridge please.;لطفا شیر را در یخچال بگذارید.;Будь ласка, поставте молоко в холодильник.;يرجى وضع الحليب في الثلاجة.
Auf dem Foto sind viele Kinder.;There are many children on the photograph.;بچه های زیادی در عکس هستند.;На фото багато дітей.;هناك العديد من الأطفال في الصورة.
Was ist in dem Kasten?;What is in the box?;در جعبه چیست؟;Що в коробці?;ماذا يوجد في الصندوق؟
Kannst du bitte eine Kerze anmachen es ist zu dunkel.;Can you light a candle please it is too dark.;میشه لطفا یه شمع روشن کن خیلی تاریکه;Чи можете ви, будь ласка, запалити свічку, вона занадто темна.;هل يمكنك إشعال شمعة، فالجو مظلم جدًا.
Wann ist die Wäsche fertig?;When is the laundry finished?;لباسشویی کی تمام می شود؟;Коли закінчено прання?;متى يتم الانتهاء من الغسيل؟
Der Schrank ist zu breit für den Flur.;The closet is too broad for the corridor.;کمد برای راهرو خیلی پهن است.;Шафа занадто широка для передпокою.;الخزانة واسعة جدًا بالنسبة للممر.
Wir müssen das Bett durch den schmalen Gang tragen.;We have to carry the bed through the narrow corridor.;باید تخت را از راهروی باریک عبور دهیم.;Доводиться нести ліжко через вузький коридор.;علينا أن نحمل السرير عبر الردهة الضيقة.
Die Lampe ist leicht zu tragen.;The lamp is easy to carry.;حمل لامپ آسان است.;Лампу зручно носити.;المصباح سهل الحمل.
Die Tür geht schwer aufzumachen.;The door is difficult to open.;در به سختی باز می شود.;Двері важко відкриваються.;من الصعب فتح الباب.
Unser Wohnzimmer ist schön hell.;Our living room is nicely bright.;اتاق نشیمن ما زیبا و روشن است.;Наша вітальня гарна і світла.;غرفة المعيشة لدينا جميلة ومشرقة.
Am Abend ist es dunkel im Hof.;In the evening its dark in the courtyard.;عصر در حیاط تاریک است.;Увечері на дворі темно.;في المساء يكون الظلام في الفناء.
Wir müssen leise sein.;We have to be silent.;باید ساکت باشیم;Ми повинні бути тихими.;علينا أن نكون هادئين.
Das Kind war gestern Abend sehr laut.;The child was very loud yesterday evening.;صدای بچه دیشب خیلی بلند بود.;Вчора ввечері дитина була дуже голосною.;كان الطفل بصوت عال جدا الليلة الماضية.
Der Schrank ist zu hoch für mich kannst du mir bitte helfen?;The closet is too high for me can you help me please?;کمد برای من خیلی بلند است لطفا کمکم کنید؟;Шафа занадто висока для мене, чи можете ви мені допомогти?;الخزانة مرتفعة جدًا بالنسبة لي، هل يمكنك مساعدتي من فضلك؟
Ich möchte einen niedrigen Tisch.;I would like to have a low table.;من یه میز کم میخوام;Хочу низький столик.;أريد طاولة منخفضة.
Das Foto soll gerade an der Mauer hängen.;The photograph should hang straight on the Wall.;عکس قرار است همین الان به دیوار آویزان باشد.;Фото нібито зараз висить на стіні.;من المفترض أن تكون الصورة معلقة على الحائط الآن.
Warum ist die Banane krumm?;Why is the banana not straight?;چرا موز کج است؟;Чому банан кривий?;لماذا الموز ملتوي؟
Wir müssen unsere Möbel gebraucht kaufen.;We have to buy our furniture used.;ما باید مبلمانمان را دست دوم بخریم.;Ми повинні купувати наші меблі, що були у вживанні.;علينا شراء أثاثنا المستعمل.
Im Kühlschrank ist es kühl.;Its cool in the fridge.;در یخچال خنک است.;У холодильнику прохолодно.;إنه بارد في الثلاجة.
Ein Aufzug ist sehr praktisch.;An elevator is very practical.;آسانسور بسیار راحت است.;Ліфт - це дуже зручно.;المصعد مريح للغاية.
Geh bitte nicht an meine Sachen.;Please dont go through my things.;لطفا به وسایل من دست نزنید;Будь ласка, не чіпайте мої речі.;من فضلك لا تلمس أغراضي.
Wir sind endlich fertig mit renovieren.;We are finally finished renovating.;بالاخره بازسازی کردیم;Ми нарешті закінчили ремонт.;لقد انتهينا أخيرًا من التجديد.
Ihr habt einen runden Tisch gekauft.;You have bought a round table.;میز گرد خریدی;Ви купили круглий стіл.;اشتريت طاولة مستديرة.
Der Sessel ist wirklich bequem.;The armchair is really comfortable.;صندلی راحتی واقعاً راحت است.;Крісло дійсно зручне.;الكرسي بذراعين مريح حقًا.
Das Sofa ist mir zu hart zum schlafen.;The couch is too hard to sleep for me.;مبل برای من خیلی سخت است که بتوانم روی آن بخوابم.;Диван занадто жорсткий для мене, щоб спати.;الأريكة صعبة للغاية بالنسبة لي للنوم عليها.
Ist die Wäsche schon trocken?;Is the laundry dry already?;آیا لباسشویی هنوز خشک شده است؟;Білизна вже висохла?;هل الغسيل جاف بعد؟
Auf dem Balkon ist es schön ruhig.;It is nicely quiet on the balcony.;در بالکن خوب و آرام است.;На балконі затишно і тихо.;إنه لطيف وهادئ على الشرفة.
Die Küche ist nicht sauber.;The kitchen is not clean.;آشپزخانه تمیز نیست.;Кухня не чиста.;المطبخ غير نظيف.
Wir treffen uns am Ausgang.;We meet each other at the exit.;در خروجی همدیگر را ملاقات خواهیم کرد.;Зустрінемося на виході.;سنلتقي عند المخرج
Stell das Glas bitte auf den Tisch.;Put the glass  on the table please.;لطفا لیوان را روی میز بگذارید.;Будь ласка, поставте склянку на стіл.;يرجى وضع الزجاج على الطاولة.
Wir hängen das Bild neben den Schrank.;We hang the picture next to the closet.;عکس را کنار کمد آویزان می کنیم.;Вішаємо картину біля шафи.;نعلق الصورة بجانب الخزانة.
Ich laufe über den Teppich.;I walk over the carpet.;از روی فرش عبور می کنم.;Я йду по килиму.;أمشي عبر السجادة.
Unter dem Teppich ist leider kein Geld.;Unfortunately there is no money under the carpet.;متأسفانه پولی زیر فرش نیست.;На жаль, підкилимних грошей немає.;لسوء الحظ، لا يوجد أموال تحت السجادة.
In der Spülmaschine ist viel Geschirr.;There is a lot of dishes in the dish washer.;ظروف زیادی در ماشین ظرفشویی وجود دارد.;У посудомийній машині багато посуду.;هناك الكثير من الأطباق في غسالة الصحون.
Ich hole eine Jacke aus dem Schrank.;I get a jacket from the closet.;از کمد یک ژاکت می گیرم.;Дістаю з шафи піджак.;أحصل على سترة من الخزانة.
Du musst durch den Gang gehen.;You have to go through the corridor.;باید از راهرو بگذری.;Треба пройти через коридор.;عليك أن تذهب من خلال الردهة.
Das Kind ist gegen die Mauer gelaufen.;The child ran against the wall.;کودک به دیوار دوید.;Дитина врізалася в стіну.;ركض الطفل إلى الحائط.
Sie wählt zwischen den beiden Bildern aus.;She is choosing between the two pictures.;او بین دو عکس یکی را انتخاب می کند.;Вона вибирає між двома картинками.;وهي تختار بين الصورتين.
Läufst du um das Haus?;Are you running around the house?;آیا در خانه قدم می زنید؟;Ходиш по хаті?;هل تتجول في المنزل؟
Ich warte vor dem Eingang.;I wait before the entrance.;جلوی در ورودی منتظرم.;Я чекаю перед входом.;أنا أنتظر أمام المدخل.
Die Frau geht nach dem Mann.;the woman walks behind the man.;زن به دنبال مرد می رود.;Жінка йде за чоловіком.;المرأة تذهب بعد الرجل.
Der Mann kommt mit seinem Kind.;The man is coming with his child.;مرد با فرزندش می آید.;Чоловік приходить з дитиною.;يأتي الرجل مع طفله.
Die Frau kommt ohne ihren Mann.;The woman is coming without her man.;زن بدون شوهرش می آید.;Жінка приходить без чоловіка.;تأتي المرأة بدون زوجها.
Das Geld ist nicht für dich.;The money is not for you.;پول برای شما نیست.;Гроші не для вас.;المال ليس لك.
Das Geld ist von meiner Frau.;The money is from my wife.;پول از طرف همسرم است.;Гроші від дружини.;المال من زوجتي.
Wir wohnen ganz oben.;We live way up.;ما در اوج زندگی می کنیم.;Ми живемо на вершині.;نحن نعيش في الأعلى.
Geh bitte nach unten.;Please go down.;لطفا برو پایین;Будь ласка, спустіться вниз.;من فضلك اذهب إلى الطابق السفلي.
Von vorn sieht das Haus schön aus.;From the front the house looks nice.;خانه از جلو زیبا به نظر می رسد.;З фасаду будинок виглядає красиво.;يبدو المنزل جميلاً من الأمام.
Da hinten ist nichts mehr.;Behind there there is nothing anymore.;اونجا دیگه چیزی نمانده;Там нічого не залишилося.;لم يبق شيء هناك.
Wir gehen jetzt nach draußen.;We go outside now.;الان میریم بیرون;Зараз ми йдемо на вулицю.;نحن نذهب للخارج الآن.
Warum bist du noch drinnen?;Why are you inside yet?;چرا هنوز داخل هستی؟;Чому ти все ще всередині?;لماذا لا تزال في الداخل؟
Kannst du den Schrank bitte darüber stellen?;Can you put the closet there please?;میشه لطفا کمد را بالای آن قرار دهید؟;Чи можете ви поставити шафу над ним?;هل يمكنك من فضلك وضع الخزانة فوقها؟
Gib noch ein bisschen Salz dazu.;Add a little bit of salt please.;کمی نمک دیگر اضافه کنید.;Додайте ще трохи солі.;أضف المزيد من الملح.
Da vorne gibt es noch ein Hotel.;There is yet one hotel.;یک هتل دیگر در جلو وجود دارد.;Попереду ще один готель.;هناك فندق آخر في الأمام.
So viel Geld für so wenig Essen.;So much money for so little food.;پول زیاد برای غذای کم;Так багато грошей за так мало їжі.;الكثير من المال مقابل القليل من الطعام.
Der Mann stellt sein Auto in die Garage.;The man puts his car into the garage.;مرد ماشینش را در گاراژ می گذارد.;Чоловік ставить свою машину в гараж.;الرجل يضع سيارته في المرآب.
Wir wohnen zur miete in unserem Haus.;We just live for rent in our house.;ما در خانه خود اجاره ای زندگی می کنیم.;Ми живемо в нашому будинку в оренду.;نحن نعيش في منزلنا للإيجار.
Das Dach ist kaputt und muss repariert werden.;The roof is broken and has to be repaired.;سقف شکسته و نیاز به تعمیر دارد.;Покрівля зламана, потребує ремонту.;السقف مكسور ويحتاج إلى إصلاح.
Stell das Bild bitte auf den Dachboden.;Put the picture on the attic please.;لطفا عکس را در اتاق زیر شیروانی قرار دهید.;Будь ласка, поставте картину на горище.;من فضلك ضع الصورة في العلية.
Kannst du bitte das Fenster öffnen.;Can you open the window please.;میشه لطفا پنجره رو باز کن;Відкрийте вікно, будь ласка.;هل يمكنك فتح النافذة من فضلك.
Die Frau Steht auf dem Balkon.;The woman is standing on the balcony.;زن در بالکن ایستاده است.;Жінка стоїть на балконі.;المرأة واقفة على الشرفة.
Hinter dieser Tür ist die Toilette.;Behind this door is the toilet.;پشت این در توالت است.;За цими дверима знаходиться туалет.;خلف هذا الباب يوجد المرحاض.
Das Haus hat einen schönen Garten.;The house has a beautiful garden.;خانه دارای باغ زیبایی است.;Будинок має гарний сад.;المنزل لديه حديقة جميلة.
Ich wohne im Erdgeschoss und muss keine Treppe laufen.;I live in the ground floor and dont have to walk the stairs.;من در طبقه همکف زندگی می کنم و مجبور نیستم از پله ها بالا بروم.;Я живу на першому поверсі і мені не потрібно підніматися сходами.;أعيش في الطابق الأرضي ولا أضطر إلى صعود السلالم.
Kannst du heute bitte den Keller reinigen.;can you clean the basement please.;میشه لطفا امروز زیرزمین رو تمیز کنید;Чи не могли б ви прибрати сьогодні підвал?;هل يمكنك من فضلك تنظيف الطابق السفلي اليوم.
Wir ziehen in eine neue Wohnung.;We move into a new apartment.;ما به یک آپارتمان جدید نقل مکان می کنیم.;Переїжджаємо в нову квартиру.;نحن ننتقل إلى شقة جديدة.
Den Umzug machen wir ohne Hilfe.;We do the move without help.;ما حرکت را بدون کمک انجام می دهیم.;Робимо рух без сторонньої допомоги.;نحن نقوم بهذه الخطوة دون مساعدة.
Dort vorne ist der Eingang.;The entrance is there.;ورودی اون بالاست;Вхід там, нагорі.;المدخل هناك.
Entschuldigung ich kann den Ausgang nicht finden.;Excuse I can not find the exit.;با عرض پوزش، من نمی توانم خروجی را پیدا کنم.;Вибачте, я не можу знайти вихід.;آسف، لا أستطيع العثور على المخرج.
In seinem Zimmer steht nur ein Bett und ein Schrank.;There is only a bed and a closet in his room.;در اتاقش فقط یک تخت و کمد وجود دارد.;У його кімнаті лише ліжко та шафа.;لا يوجد سوى سرير وخزانة في غرفته.
Das Bett steht im Schlafzimmer.;The bed is standing in the sleeping room.;تخت در اتاق خواب است.;Ліжко в спальні.;السرير في غرفة النوم.
Stellen sie das Sofa bitte in das Wohnzimmer.;Put the couch into the living room please.;لطفا مبل را در اتاق نشیمن قرار دهید.;Будь ласка, розмістіть диван у вітальні.;يرجى وضع الأريكة في غرفة المعيشة.
Im Bad putze ich meine Zähne.;I brush my teeth in the bathroom.;دندان هایم را در حمام مسواک می زنم.;Я чищу зуби у ванній.;أغسل أسناني في الحمام.
Gehst du jetzt unter die Dusche?;Are you going under the shower now?;الان میخوای دوش بگیری؟;Ти зараз збираєшся прийняти душ?;هل ستأخذ حماماً الآن؟
Die Frau führt den Haushalt.;The woman is in charge of the household.;زن خانه را اداره می کند.;Жінка веде господарство.;المرأة تدير الأسرة.
Durch diese Tür kommen sie in den Flur.;Through this door you come into the floor.;از این در وارد راهرو می شوید.;Через ці двері ви потрапляєте в коридор.;من خلال هذا الباب تدخل إلى الردهة.
Ich wohne ganz hinten im Gang.;I live in the back of the corridor.;من در پشت سالن زندگی می کنم.;Я живу в глибині коридору.;أنا أعيش في الجزء الخلفي من القاعة.
Können sie bitte die Heizung anmachen?;Can you turn on the heating please.;میشه لطفا حرارت رو روشن کنید؟;Ви можете включити опалення?;هل يمكنك من فضلك تشغيل الحرارة؟
Das Haus hat einen schönen Hof.;The house has a nice courtyard.;خانه حیاط زیبایی دارد.;Будинок має гарний двір.;المنزل لديه ساحة جميلة.
Den Herd habe ich gebraucht gekauft.;I bought the cooker used.;من اجاق گاز کارکرده خریدم;Купив піч б/в.;اشتريت الموقد المستخدم.
Der Backofen ist nicht kaputt.;The stove is not broken.;فر شکسته نیست.;Піч не зламана.;الفرن غير مكسور.
Ich gehe in die Küche und mache etwas zu essen.;I go into the kitchen and make something to eat.;وارد آشپزخانه می شوم و چیزی برای خوردن درست می کنم.;Я йду на кухню і готую щось їсти.;أذهب إلى المطبخ وأعد شيئًا للأكل.
Ich wohne im Erdgeschoss und brauche keinen Aufzug.;I live in the ground floor and dont need an elevator.;من در طبقه همکف زندگی می کنم و نیازی به آسانسور ندارم.;Я живу на першому поверсі і мені не потрібен ліфт.;أعيش في الطابق الأرضي ولا أحتاج إلى مصعد.
Können sie bitte das Schloss zumachen.;Can you close the lock please.;میشه لطفا قفل رو ببندید;Ви можете закрити замок.;هل يمكنك من فضلك إغلاق القفل.
Ich muss den ganzen Tag Treppen laufen.;I have to walk stairs all day long.;تمام روز باید از پله ها راه بروم.;Мені доводиться цілий день ходити сходами.;لا بد لي من المشي على الدرج طوال اليوم.
Können sie die Tonne dorthin stellen bitte.;Can you put the ton there please.;میشه سطل رو اونجا بذاری لطفا;Ви можете поставити туди смітник, будь ласка.;هل يمكنك وضع الصندوق هناك من فضلك.
Ich gehe um die Ecke.;I go around the corner.;به گوشه ای می روم.;Заходжу за ріг.;أذهب قاب قوسين أو أدنى.
Ich habe jeden Tag den gleichen Tagesablauf.;Every day I have the same routine.;من هر روز همین روال را دارم.;У мене однаковий розпорядок дня.;لدي نفس الروتين كل يوم.
Die Technik im Haus funktioniert noch nicht.;The technique in the house is not working.;فناوری در خانه هنوز کار نمی کند.;Техніка в будинку ще не працює.;التكنولوجيا في المنزل لا تعمل بعد.
Meine Miete ist viel zu hoch.;My rent is way too high.;اجاره من خیلی بالاست;Моя орендна плата занадто висока.;إيجاري مرتفع جدًا.
Wer bringt den Müll weg?;Who brings out the waste?;چه کسی زباله ها را بیرون می آورد؟;Хто виносить сміття?;من يخرج القمامة؟
Ich kann die Nebenkosten nicht mehr bezahlen.;I can not pay the additional costs anymore.;من دیگر نمی توانم هزینه های اضافی را پرداخت کنم.;Я більше не можу оплачувати додаткові витрати.;لم يعد بإمكاني دفع التكاليف الإضافية.
Passt der Schrank in der Breite?;Does the closet fit in width?;آیا عرض کابینت مناسب است؟;Ширина шафи підходить?;هل عرض الخزانة مناسب؟
Wir müssen noch die Höhe messen.;We have to measure the height yet.;هنوز باید ارتفاع را اندازه گیری کنیم.;Треба ще виміряти висоту.;لا يزال يتعين علينا قياس الارتفاع.
Kannst du bitte die Tiefe des Schranks messen?;Can you measure the depth of the closet please?;میشه لطفا عمق کابینت رو اندازه بگیرید؟;Ви можете виміряти глибину шафи?;هل يمكنك قياس عمق الخزانة؟
In der Länge passt der Kühlschrank nicht in das Auto.;The fridge doesnt fit into the car in length.;طول یخچال در ماشین نمی گنجد.;Довжина холодильника не поміщається в машину.;طول الثلاجة لا يتناسب مع حجم السيارة.
Bitte auf den Zentimeter genau messen.;Please measure exactly by the centimeter.;لطفا با نزدیکترین سانتی متر اندازه گیری کنید.;Вимірюйте з точністю до сантиметра.;يرجى القياس لأقرب سنتيمتر.
Der Schrank ist zwei Meter hoch.;The closet is two meters high.;ارتفاع کمد دو متر است.;Шафа висотою два метри.;ارتفاع الخزانة مترين.
Wie viele Quadratmeter hat die Wohnung?;How many square meters does the aparment have?;آپارتمان چند متر مربع است؟;Скільки квадратних метрів квартири?;كم متر مربع الشقة؟
Wieviele Kilometer sind es bis Dresden?;How many Kilometers is Dresden away?;تا درسدن چند کیلومتر فاصله است؟;Скільки кілометрів до Дрездена?;كم كيلومترا إلى دريسدن؟
Das Gewicht ist zu hoch für den Aufzug.;The weight is too high for the elevator.;وزن برای آسانسور خیلی زیاد است.;Вага завелика для ліфта.;الوزن مرتفع جدًا بالنسبة للمصعد.
Zweihundert Gramm Fleisch bitte.;Two hundred gramms of meat please.;دویست گرم گوشت لطفا;Двісті грамів м'яса, будь ласка.;مائتي جرام من اللحم من فضلك.
Ich nehme ein Pfund Tomaten.;I take one pound of tomatoes.;من یک کیلو گوجه فرنگی می گیرم.;Я беру півкіло помідорів.;آخذ رطلًا من الطماطم.
Können sie mir bitte zwei Kilogramm Äpfel in meine Tüte geben?;Can you give me two kilogramms of apples in a bag please.;میشه لطفا دو کیلو سیب تو کیفم بذاری؟;Ви можете покласти два кілограми яблук у мою сумку?;هل يمكنك من فضلك وضع كيلوغرامين من التفاح في حقيبتي؟
Wasser kocht bei einhundert Grad Celsius.;water boils at a hundred degrees.;آب در صد درجه سانتیگراد می جوشد.;Вода кипить при ста градусах Цельсія.;يغلي الماء عند درجة حرارة مائة درجة مئوية.
Das müssen wir in Mililiter messen.;We have to measure this in mililiter.;ما باید آن را در میلی لیتر اندازه گیری کنیم.;Ми повинні виміряти це в мілілітрах.;علينا قياس ذلك بالملليلتر.
Er hat einen Liter Bier getrunken.;He has drunken one liter of beer.;یک لیتر آبجو نوشید.;Він випив літр пива.;كان يشرب لترًا من البيرة.
Ein halber Liter Wein ist zu viel für mich.;Half a liter of vine is too much for me.;نصف لیتر شراب برای من زیاد است.;Півлітра вина для мене забагато.;نصف لتر من النبيذ كثير بالنسبة لي.
Wir brauchen noch die Maße der Wohnung.;We still need the measures of the apartment.;هنوز به ابعاد آپارتمان نیاز داریم.;Ще потрібні розміри квартири.;ما زلنا بحاجة إلى أبعاد الشقة.
Die Flasche kannst du auf die Platte stellen.;You can put the bottle on the plate.;می توانید بطری را روی بشقاب قرار دهید.;Можна поставити пляшку на тарілку.;يمكنك وضع الزجاجة على اللوحة.
Wir müssen hier mal Ordnung machen.;We have to tidy up here.;ما باید اینجا چیزها را مرتب کنیم.;Ми повинні тут розібратися.;علينا أن نرتب الأمور هنا.
Deine Unordnung ist wirklich schlimm.;Your messiness is really terrible.;آشفتگی شما واقعاً بد است.;Ваш безлад дуже поганий.;الفوضى الخاصة بك سيئة حقا.
Wieviel bezahlen sie für ihren Strom?;How much do you pay for your electricity?;چقدر برای برق خود هزینه می کنید؟;Скільки ви платите за електроенергію?;كم تدفع مقابل الكهرباء؟
Unser Nachbar ist wirklich sehr freundlich.;Our neighbour is really very friendly.;همسایه ما واقعاً بسیار صمیمی است.;Наш сусід справді дуже привітний.;جارنا ودود للغاية حقًا.
Was ist das für ein Gegenstand?;What kind of thing is this?;این چه نوع شی است؟;Що це за об'єкт?;أي نوع من الكائنات هذا؟
Der Vermieter ist möchte mehr Geld haben.;The landlord wants to have more money.;صاحبخانه پول بیشتری می خواهد.;Хазяїн хоче більше грошей.;المالك يريد المزيد من المال.
Auf meinem Girokonto ist kein Geld mehr.;There is no money on my checking account anymore.;هیچ پولی در حساب جاری من باقی نمانده است.;На моєму поточному рахунку не залишилося грошей.;لم يتبق أي أموال في حسابي الجاري.
Unser Konto ist im Minus.;Our account is in the minus area.;حساب ما قرمز است.;Наш рахунок у мінусі.;حسابنا باللون الأحمر.
Das Kind steht auf der Mauer.;The child is standing on the wall.;کودک روی دیوار ایستاده است.;Дитина стоїть на стіні.;الطفل يقف على الحائط.
Der Lärm von den Autos ist schlecht für die Gesundheit.;The noise of the cars is bad for health.;صدای ماشین ها برای سلامتی مضر است.;Шум машин шкідливий для здоров'я.;ضجيج السيارات مضر لصحتك.
Ich brauche endlich ein bisschen Ruhe.;i finally need some quiet.;بالاخره نیاز به استراحت دارم;Мені нарешті потрібен відпочинок.;أنا أخيرا بحاجة إلى بعض الراحة.
Bring die Sachen bitte in das Lager.;Put the things into the stock.;لطفا وسایل را به انبار بیاورید.;Будь ласка, принесіть речі на склад.;يرجى إحضار الأشياء إلى المستودع.
Der Makler hat eine Wohnung für uns gefunden.;The broker found an apartment for us.;مامور برای ما یک آپارتمان پیدا کرد.;Агент знайшов нам квартиру.;وجد الوكيل شقة لنا.
Das Kind soll viel Wasser trinken.;The child shall drink a lot of water.;کودک باید مقدار زیادی آب بنوشد.;Дитина повинна пити багато води.;يجب أن يشرب الطفل الكثير من الماء.
Ich gehe gerne zur Sparkasse.;I like to go to the sparkasse (bank name);من دوست دارم به بانک پس انداز بروم.;Я люблю ходити в ощадбанк.;أحب الذهاب إلى بنك الادخار.
Wir möchten nächste Woche aus unserer Wohnung ausziehen.;Next week we want to move out of our appartment.;ما می خواهیم هفته آینده از آپارتمان خود نقل مکان کنیم.;Ми хотіли б виїхати з нашої квартири наступного тижня.;نود أن نخرج من شقتنا الأسبوع المقبل.
Wann werden sie einziehen?;When will you move in?;کی وارد می شوند؟;Коли вони заселяться?;متى سينتقلون؟
